file,dict_name,clip_count,anim_count,bone_refs,first_10_clips,first_10_anims
ai_getup@directional@transition@prone_to_knees@lasso@loosen_feet.ycd.xml,ai_getup@directional@transition@prone_to_knees@lasso@loosen_feet,2,3,,pack:/front.clip; pack:/back.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
ai_getup@directional@transition@prone_to_knees@lasso@loosen_hogtie.ycd.xml,ai_getup@directional@transition@prone_to_knees@lasso@loosen_hogtie,1,3,,pack:/front.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
ai_getup@directional@transition@prone_to_knees@lasso@loosen_neck.ycd.xml,ai_getup@directional@transition@prone_to_knees@lasso@loosen_neck,2,3,,pack:/back.clip; pack:/front.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
ai_getup@directional@transition@prone_to_knees@lasso@loosen_waist.ycd.xml,ai_getup@directional@transition@prone_to_knees@lasso@loosen_waist,2,3,,pack:/front.clip; pack:/back.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
ai_getup@directional@transition@prone_to_seated@lasso@loosen_feet.ycd.xml,ai_getup@directional@transition@prone_to_seated@lasso@loosen_feet,2,3,,pack:/front.clip; pack:/back.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
ai_getup@directional@transition@prone_to_seated@lasso@loosen_hogtie.ycd.xml,ai_getup@directional@transition@prone_to_seated@lasso@loosen_hogtie,1,3,,pack:/front.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
ai_getup@directional@transition@prone_to_seated@lasso@loosen_neck.ycd.xml,ai_getup@directional@transition@prone_to_seated@lasso@loosen_neck,2,3,,pack:/front.clip; pack:/back.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
ai_getup@directional@transition@prone_to_seated@lasso@loosen_waist.ycd.xml,ai_getup@directional@transition@prone_to_seated@lasso@loosen_waist,2,3,,pack:/front.clip; pack:/back.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
ai_ragdoll@lasso.ycd.xml,ai_ragdoll@lasso,3,3,,pack:/lasso_neck.clip; pack:/lasso_torso.clip; pack:/lasso_feet.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
mech_grapple@lasso@_male@_ambient@_healthy@mounted@_streamed.ycd.xml,mech_grapple@lasso@_male@_ambient@_healthy@mounted@_streamed,21,11,SKEL_L_HAND; SKEL_NECK0; SKEL_R_HAND,pack:/struggle_loop_success_att.clip; pack:/struggle_success_vic.clip; pack:/struggle_loop_mid_att.clip; pack:/struggle_success_att.clip; pack:/struggle_loop_success_vic.clip; pack:/struggle_loop_fail_att.clip; pack:/exit_standing_att.clip; pack:/exit_left_vic.clip; pack:/exit_facedown_vic.clip; pack:/struggle_loop_fail_vic.clip,biped_q5@biped@0_0; biped_q5@biped@0_1; biped_q5@biped@0_7; biped_q5@biped@0_2; biped_q5@biped@0_6; biped_q5@biped@0_3; biped_q5@biped@0_8; biped_q5@biped@0_9; biped_q5@biped@0_4; biped_q5@biped@0_5
mech_grapple@lasso@_male@_ambient@_healthy@mounted@intimidation@on_ass@_base.ycd.xml,mech_grapple@lasso@_male@_ambient@_healthy@mounted@intimidation@on_ass@_base,6,4,CP_L_Forearm; SKEL_NECK0,pack:/enter_left_att.clip; pack:/enter_front_att.clip; pack:/enter_right_vic.clip; pack:/enter_right_att.clip; pack:/enter_front_vic.clip; pack:/enter_left_vic.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_3; biped_q5@biped@0_0
mech_grapple@lasso@_male@_ambient@_healthy@mounted@intimidation@on_knees@_base.ycd.xml,mech_grapple@lasso@_male@_ambient@_healthy@mounted@intimidation@on_knees@_base,6,4,CP_L_Forearm; SKEL_NECK0,pack:/enter_front_att.clip; pack:/enter_right_vic.clip; pack:/enter_right_att.clip; pack:/enter_front_vic.clip; pack:/enter_left_vic.clip; pack:/enter_left_att.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_3; biped_q5@biped@0_0
mech_inventory@equip@fallback@base@lasso.ycd.xml,mech_inventory@equip@fallback@base@lasso,4,4,,pack:/unholster.clip; pack:/holster.clip; pack:/w_unholster.clip; pack:/w_holster.clip,biped_q5@biped@0_1; prop_q5@tr3@0_0; biped_q5@biped@0_2; biped_q5@biped@0_0
mech_inventory@equip@fallback@base@unarmed@satchel@lasso.ycd.xml,mech_inventory@equip@fallback@base@unarmed@satchel@lasso,2,3,,pack:/unholster.clip; pack:/holster.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
mech_inventory@equip@fallback@base@unarmed@satchel@lasso_gesture.ycd.xml,mech_inventory@equip@fallback@base@unarmed@satchel@lasso_gesture,2,3,,pack:/unholster.clip; pack:/holster.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
mech_inventory@equip@fallback@crouch@unarmed@satchel@lasso.ycd.xml,mech_inventory@equip@fallback@crouch@unarmed@satchel@lasso,2,3,,pack:/unholster.clip; pack:/holster.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
mech_inventory@equip@fallback@first_person@unarmed@satchel@lasso_gesture.ycd.xml,mech_inventory@equip@fallback@first_person@unarmed@satchel@lasso_gesture,2,3,,pack:/unholster.clip; pack:/holster.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
mech_inventory@equip@vehicle@shared@seated@base@unarmed@satchel@lasso_gesture.ycd.xml,mech_inventory@equip@vehicle@shared@seated@base@unarmed@satchel@lasso_gesture,2,3,,pack:/unholster.clip; pack:/holster.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
mech_jump@arms@lasso.ycd.xml,mech_jump@arms@lasso,1,3,,pack:/hand_grip.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
mech_melee@lasso@_male@_ambient@_healthy@_noncombat.ycd.xml,mech_melee@lasso@_male@_ambient@_healthy@_noncombat,31,9,SKEL_L_HAND; SKEL_R_HAND,pack:/shove_running_from_back_dist_far_v1_vic.clip; pack:/attack_kick_push_rightside_dist_close_v1.clip; pack:/takedown_hogtie_from_right_v1_att.clip; pack:/attack_kick_stomp_leftside_dist_far_v1.clip; pack:/shove_running_from_front_dist_far_v1_att.clip; pack:/attack_kick_stomp_rightside_dist_near_v1.clip; pack:/takedown_hogtie_from_back_v1_vic.clip; pack:/takedown_hogtie_from_front_v1_att.clip; pack:/shove_running_from_front_dist_near_v1_att.clip; pack:/attack_kick_push_leftside_dist_near_v1.clip,biped_q5@biped@0_1; biped_q5@biped@0_4; biped_q5@biped@0_6; biped_q5@biped@0_7; biped_q5@biped@0_3; biped_q5@biped@0_5; biped_q5@biped@0_2; biped_q5@biped@0_8; biped_q5@biped@0_0
mega_mech_grapple@lasso@male@mounted.ycd.xml,mega_mech_grapple@lasso@male@mounted,36,13,SKEL_L_HAND; SKEL_NECK0; SKEL_R_HAND,pack:/mech_grapple@lasso@_male@_ambient@_healthy@mounted@_base/facedown_enter_right_vic.clip; pack:/mech_grapple@lasso@_male@_ambient@_healthy@mounted@_base/running_tackle_from_back_running_trans_mount_att.clip; pack:/mech_grapple@lasso@_male@_ambient@_healthy@mounted@_base/facedown_enter_backleft_vic.clip; pack:/mech_grapple@lasso@_male@_ambient@_healthy@mounted@_base/running_tackle_from_right_running_trans_mount_vic.clip; pack:/mech_grapple@lasso@_male@_ambient@_healthy@mounted@_base/running_tackle_from_left_standing_trans_mount_vic.clip; pack:/mech_grapple@lasso@_male@_ambient@_healthy@mounted@_base/running_tackle_from_left_running_trans_mount_vic.clip; pack:/mech_grapple@lasso@_male@_ambient@_healthy@mounted@_base/facedown_enter_right_att.clip; pack:/mech_grapple@lasso@_male@_ambient@_healthy@mounted@_base/running_tackle_from_front_standing_trans_mount_vic.clip; pack:/mech_grapple@lasso@_male@_ambient@_healthy@mounted@_base/running_tackle_from_right_standing_trans_mount_vic.clip; pack:/mech_grapple@lasso@_male@_ambient@_healthy@mounted@_base/facedown_enter_backright_vic.clip,biped_q5@biped@0_11; biped_q5@biped@0_0; biped_q5@biped@0_1; biped_q5@biped@0_7; biped_q5@biped@0_2; biped_q5@biped@0_3; biped_q5@biped@0_8; biped_q5@biped@0_6; biped_q5@biped@0_9; biped_q5@biped@0_4
mega_mech_strafe@generic@lasso.ycd.xml,mega_mech_strafe@generic@lasso,109,16,,pack:/mech_strafe@generic@lasso@high_tension/stop_slow_ccw.clip; pack:/mech_strafe@generic@lasso@high_tension/move_slow_bwd.clip; pack:/mech_strafe@generic@lasso@low_tension/stop_slow_bwd.clip; pack:/mech_strafe@generic@lasso@mid_tension/move_fast_fwd.clip; pack:/mech_strafe@generic@lasso@low_tension/stop_fast_bwd.clip; pack:/mech_strafe@generic@lasso@high_tension/stop_fast_fwd.clip; pack:/mech_strafe@generic@lasso@mid_tension/move_fast_bwd.clip; pack:/mech_strafe@generic@lasso@mid_tension/move_slow_cw_close.clip; pack:/mech_strafe@generic@lasso@low_tension/stop_slow_ccw.clip; pack:/mech_strafe@generic@lasso@high_tension/start_fast_bwd_-135.clip,biped_q5_finger_q0@biped@0_4; biped_q5_finger_q0@biped@0_12; biped_q5@biped@0_0; biped_q5_finger_q0@biped@0_8; biped_q5_finger_q0@biped@0_7; biped_q5_finger_q0@biped@0_1; biped_q5_finger_q0@biped@0_10; biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5_finger_q0@biped@0_2
mega_mech_weapons_special@lasso.ycd.xml,mega_mech_weapons_special@lasso,101,26,,pack:/mech_weapons_special@lasso@base@swing@sweep/aim_med_r90.clip; pack:/mech_weapons_special@lasso@base@ready@release/release_med_l90.clip; pack:/mech_weapons_special@lasso@base@pull@tighten_rope/release_fb_bwd_-135.clip; pack:/mech_weapons_special@lasso@base@pull@tighten_rope/release_fb_left_-45.clip; pack:/mech_weapons_special@lasso/idle_2_aim_fwd_med.clip; pack:/mech_weapons_special@lasso@base@release_wait@sweep/aim_med_0.clip; pack:/mech_weapons_special@lasso@base@ready@sweep/aim_med_0_intro.clip; pack:/mech_weapons_special@lasso@base@pull@tighten_rope/release_fb_right_45.clip; pack:/mech_weapons_special@lasso@base@trans@swing_to_ready/aim_transition_0.clip; pack:/mech_weapons_special@lasso@base@trans@reelin_empty_to_ready/aim_transition_l90.clip,biped_q5@biped@0_16; biped_q5@biped@0_11; biped_q5@biped@0_0; prop_q7@tr3@0_0; biped_q5@biped@0_22; biped_q5@biped@0_24; biped_q5@biped@0_13; biped_q5@biped@0_1; biped_q5@biped@0_20; biped_q5@biped@0_7
script_mp@introflow@soloonfoot@lasso.ycd.xml,script_mp@introflow@soloonfoot@lasso,24,8,,pack:/lasso_b_f_lasso_noose.clip; pack:/lasso_c_f_female.clip; pack:/lasso_b_m_lasso_bundle.clip; pack:/lasso_b_m_male.clip; pack:/lasso_a_m_male.clip; pack:/lasso_a_m_lasso_rope.clip; pack:/lasso_b_f_female.clip; pack:/lasso_a_m_lasso_noose.clip; pack:/lasso_b_m_lasso_rope.clip; pack:/lasso_a_f_lasso_bundle.clip,cinematic_q5@female@0_0; cinematic_q5@female@0_1; prop_q8@tr3@0_1; prop_q8@tr3@0_2; cinematic_q5@biped@0_0; cinematic_q5@biped@0_1; cinematic_q5@tr3@0_0; prop_q8@tr3@0_0
script_mp@introflow@soloonhorse@lasso.ycd.xml,script_mp@introflow@soloonhorse@lasso,16,10,,pack:/solo_lasso_b_lasso_bundle.clip; pack:/solo_lasso_a_lasso_rope.clip; pack:/solo_lasso_a_lasso_loop.clip; pack:/solo_lasso_c_mp_female_head.clip; pack:/solo_lasso_a_mp_female.clip; pack:/solo_lasso_c_mp_male.clip; pack:/solo_lasso_b_lasso_loop.clip; pack:/solo_lasso_c_lasso_bundle.clip; pack:/solo_lasso_c_lasso_loop.clip; pack:/solo_lasso_a_mp_male.clip,cinematic_q5@female@0_0; cinematic_q5@female@0_1; cinematic_q5@biped@0_3; cinematic_q5@biped@0_4; cinematic_q5@biped@0_0; cinematic_q5@biped@0_1; cinematic_q5@biped@0_2; cinematic_q5@tr3@0_2; cinematic_q5@tr3@0_0; cinematic_q5@tr3@0_1
